form,max_health,movement_speed,armor,armor_toughness,knockback_resistance
minecraft:allay,20.0,0.10000000149011612,0.0,0.0,0.0
minecraft:armadillo,12.0,0.14,0.0,0.0,0.0
minecraft:armor_stand,20.0,0.7,0.0,0.0,0.0
minecraft:axolotl,14.0,1.0,0.0,0.0,0.0
minecraft:bat,6.0,0.7,0.0,0.0,0.0
minecraft:bee,10.0,0.30000001192092896,0.0,0.0,0.0
minecraft:blaze,20.0,0.23000000417232513,0.0,0.0,0.0
minecraft:bogged,16.0,0.25,0.0,0.0,0.0
minecraft:breeze,30.0,0.6299999952316284,0.0,0.0,0.0
minecraft:camel,32.0,0.09000000357627869,0.0,0.0,0.0
minecraft:camel_husk,32.0,0.09000000357627869,0.0,0.0,0.0
minecraft:cat,10.0,0.30000001192092896,0.0,0.0,0.0
minecraft:cave_spider,12.0,0.30000001192092896,0.0,0.0,0.0
minecraft:chicken,4.0,0.25,0.0,0.0,0.0
minecraft:cod,3.0,0.7,0.0,0.0,0.0
minecraft:copper_golem,12.0,0.20000000298023224,0.0,0.0,0.0
minecraft:cow,10.0,0.20000000298023224,0.0,0.0,0.0
minecraft:creaking,1.0,0.4000000059604645,0.0,0.0,0.0
minecraft:creeper,20.0,0.25,0.0,0.0,0.0
minecraft:dolphin,10.0,1.2000000476837158,0.0,0.0,0.0
minecraft:donkey,53.0,0.17499999701976776,0.0,0.0,0.0
minecraft:drowned,20.0,0.23000000417232513,2.0,0.0,0.0
minecraft:elder_guardian,80.0,0.30000001192092896,0.0,0.0,0.0
minecraft:enderman,40.0,0.30000001192092896,0.0,0.0,0.0
minecraft:endermite,8.0,0.25,0.0,0.0,0.0
minecraft:ender_dragon,200.0,0.7,0.0,0.0,0.0
minecraft:evoker,24.0,0.5,0.0,0.0,0.0
minecraft:fox,10.0,0.30000001192092896,0.0,0.0,0.0
minecraft:frog,10.0,1.0,0.0,0.0,0.0
minecraft:ghast,10.0,0.7,0.0,0.0,0.0
minecraft:happy_ghast,20.0,0.05,0.0,0.0,0.0
minecraft:giant,100.0,0.5,0.0,0.0,0.0
minecraft:glow_squid,10.0,0.7,0.0,0.0,0.0
minecraft:goat,10.0,0.20000000298023224,0.0,0.0,0.0
minecraft:guardian,30.0,0.5,0.0,0.0,0.0
minecraft:hoglin,40.0,0.30000001192092896,0.0,0.0,0.6000000238418579
minecraft:horse,53.0,0.22499999403953552,0.0,0.0,0.0
minecraft:husk,20.0,0.23000000417232513,2.0,0.0,0.0
minecraft:illusioner,32.0,0.5,0.0,0.0,0.0
minecraft:iron_golem,100.0,0.25,0.0,0.0,1.0
minecraft:llama,53.0,0.17499999701976776,0.0,0.0,0.0
minecraft:magma_cube,1.0,0.30000001192092896,3.0,0.0,0.0
minecraft:mooshroom,10.0,0.20000000298023224,0.0,0.0,0.0
minecraft:mule,53.0,0.17499999701976776,0.0,0.0,0.0
minecraft:nautilus,15.0,1.0,0.0,0.0,0.30000001192092896
minecraft:ocelot,10.0,0.30000001192092896,0.0,0.0,0.0
minecraft:panda,20.0,0.15000000596046448,0.0,0.0,0.0
minecraft:parched,16.0,0.25,0.0,0.0,0.0
minecraft:parrot,6.0,0.20000000298023224,0.0,0.0,0.0
minecraft:phantom,20.0,0.7,0.0,0.0,0.0
minecraft:pig,10.0,0.25,0.0,0.0,0.0
minecraft:piglin,16.0,0.3499999940395355,0.0,0.0,0.0
minecraft:piglin_brute,50.0,0.3499999940395355,0.0,0.0,0.0
minecraft:pillager,24.0,0.3499999940395355,0.0,0.0,0.0
minecraft:polar_bear,30.0,0.25,0.0,0.0,0.0
